Name,Age,Gender,Instagram,YouTube,WhatsApp,Snapchat,Facebook,Most_Used_Platform,Purpose,Total_Time
Student_1,24,Female,142.0,221,48,14,1,Facebook,Education,426.0
Student_2,21,Female,170.0,41,16,53,34,Instagram,Education,314.0
Student_3,22,Male,109.5,98,43,59,86,Facebook,Socializing,395.5
Student_4,24,Female,109.5,6,91,7,80,Snapchat,Productivity,293.5
Student_5,20,Male,12.0,143,29,52,89,Snapchat,Entertainment,325.0
Student_6,22,Female,159.0,89,92,59,7,Snapchat,News,406.0
Student_7,22,Female,70.0,111,45,4,92,Snapchat,Productivity,322.0
Student_8,24,Male,109.5,59,116,67,25,WhatsApp,News,376.5
Student_9,19,Female,27.0,112,5,5,73,YouTube,News,222.0
Student_10,20,Male,65.0,1,98,46,89,WhatsApp,Entertainment,299.0
Student_11,24,Female,169.0,128,104,54,33,WhatsApp,Socializing,488.0
Student_12,20,Male,44.0,47,36,39,6,WhatsApp,Productivity,172.0
Student_13,20,Male,61.0,139,23,51,67,YouTube,News,341.0
Student_14,22,Female,133.0,196,92,15,57,Facebook,News,493.0
Student_15,21,Female,27.0,36,112,12,74,YouTube,Entertainment,261.0
Student_16,20,Male,27.0,159,45,29,28,Facebook,Productivity,288.0
Student_17,23,Female,109.5,8,52,18,35,Snapchat,News,222.5
Student_18,22,Female,43.0,232,94,16,88,YouTube,Entertainment,473.0
Student_19,19,Female,83.0,98,98,62,20,YouTube,Socializing,361.0
Student_20,21,Male,29.0,146,59,18,35,Facebook,Entertainment,287.0
Student_21,23,Male,74.0,47,96,57,9,Instagram,Productivity,283.0
Student_22,23,Male,127.0,207,115,54,72,Instagram,Socializing,575.0
Student_23,19,Male,91.0,130,62,89,23,WhatsApp,News,395.0
Student_24,21,Male,128.0,147,84,89,63,Snapchat,Productivity,511.0
Student_25,22,Male,120.0,151,31,61,98,Instagram,Productivity,461.0
Student_26,18,Male,109.5,53,86,22,48,Snapchat,Productivity,318.5
Student_27,21,Male,120.0,119,32,8,98,WhatsApp,Entertainment,377.0
Student_28,19,Male,115.0,160,66,11,35,WhatsApp,Socializing,387.0
Student_29,23,Female,2.0,151,17,0,81,Facebook,Productivity,251.0
Student_30,22,Male,102.0,115,24,57,95,Instagram,Education,393.0
Student_31,21,Female,109.5,74,105,0,23,Snapchat,News,311.5
Student_32,18,Female,136.0,112,94,33,22,Snapchat,Socializing,397.0
Student_33,18,Female,61.0,199,53,47,61,YouTube,Education,421.0
Student_34,20,Male,164.0,163,57,88,95,Facebook,Education,567.0
Student_35,20,Male,50.0,165,66,0,36,WhatsApp,News,317.0
Student_36,24,Male,109.5,103,103,15,11,Snapchat,Education,341.5
Student_37,19,Male,151.0,83,45,60,54,Snapchat,Socializing,393.0
Student_38,21,Female,58.0,226,23,63,12,Facebook,Productivity,382.0
Student_39,21,Male,117.0,111,113,62,22,Facebook,Education,425.0
Student_40,24,Male,109.5,216,31,68,88,Instagram,Productivity,512.5
Student_41,23,Male,95.0,98,46,21,98,Facebook,Socializing,358.0
Student_42,23,Male,179.0,152,85,66,29,WhatsApp,Entertainment,511.0
Student_43,24,Male,112.0,92,22,75,16,Snapchat,Productivity,317.0
Student_44,23,Female,61.0,145,65,25,61,Instagram,Entertainment,357.0
Student_45,20,Male,51.0,127,26,15,83,YouTube,Productivity,302.0
Student_46,21,Female,11.0,109,105,50,88,Facebook,Education,363.0
Student_47,24,Male,109.5,81,1,85,85,Instagram,Productivity,361.5
Student_48,21,Female,129.0,193,89,56,12,YouTube,Entertainment,479.0
Student_49,18,Male,130.0,53,16,28,58,WhatsApp,News,285.0
Student_50,20,Male,112.0,162,103,77,18,Instagram,Education,472.0
Student_51,22,Female,100.0,207,32,68,48,YouTube,Education,455.0
Student_52,20,Female,112.0,188,8,46,99,Instagram,Socializing,453.0
Student_53,24,Female,80.0,168,42,61,11,WhatsApp,News,362.0
Student_54,22,Male,112.0,227,117,68,60,YouTube,Education,584.0
Student_55,18,Female,1.0,160,47,75,18,Instagram,Productivity,301.0
Student_56,24,Male,129.0,67,38,15,75,YouTube,Education,324.0
Student_57,19,Male,53.0,32,92,89,8,WhatsApp,News,274.0
Student_58,21,Female,86.0,141,41,89,70,Instagram,Socializing,427.0
Student_59,18,Female,128.0,20,118,47,27,Instagram,Education,340.0
Student_60,21,Male,146.0,47,25,84,77,Snapchat,Entertainment,379.0
Student_61,23,Male,109.5,147,98,38,94,Snapchat,Productivity,486.5
Student_62,19,Female,129.0,127,49,32,51,Snapchat,Productivity,388.0
Student_63,19,Female,52.0,135,24,22,82,Facebook,Productivity,315.0
Student_64,18,Female,171.0,134,23,9,15,YouTube,Entertainment,352.0
Student_65,19,Male,159.0,194,12,68,68,Facebook,Entertainment,501.0
Student_66,22,Male,159.0,144,59,33,98,Facebook,Entertainment,493.0
Student_67,19,Male,67.0,127,6,51,11,YouTube,Education,262.0
Student_68,21,Male,122.0,32,56,9,24,YouTube,News,243.0
Student_69,21,Male,144.0,175,35,18,51,Snapchat,Productivity,423.0
Student_70,24,Male,109.5,203,44,57,84,Snapchat,Education,497.5
Student_71,21,Female,23.0,186,19,0,99,Facebook,News,327.0
Student_72,24,Male,68.0,114,64,68,52,Instagram,News,366.0
Student_73,21,Male,115.0,213,7,3,22,Snapchat,Productivity,360.0
Student_74,22,Male,109.5,118,109,15,15,Snapchat,Entertainment,366.5
Student_75,24,Female,138.0,21,15,23,56,Facebook,Entertainment,253.0
Student_76,20,Male,143.0,237,13,79,38,YouTube,News,510.0
Student_77,23,Male,96.0,157,75,1,52,YouTube,Socializing,381.0
Student_78,18,Female,123.0,37,114,31,41,Facebook,Entertainment,346.0
Student_79,21,Male,69.0,229,86,83,57,Instagram,News,524.0
Student_80,19,Male,109.5,108,14,23,38,Facebook,Education,292.5
Student_81,21,Male,2.0,50,91,11,13,WhatsApp,Entertainment,167.0
Student_82,19,Male,147.0,181,97,49,94,Facebook,Entertainment,568.0
Student_83,23,Male,109.5,7,65,34,4,Facebook,Education,219.5
Student_84,23,Female,109.5,26,31,32,34,Facebook,Education,232.5
Student_85,23,Female,89.0,26,86,32,86,Snapchat,Education,319.0
Student_86,19,Female,146.0,225,62,60,92,Facebook,Education,585.0
Student_87,21,Male,147.0,20,85,50,74,WhatsApp,Entertainment,376.0
Student_88,23,Male,95.0,29,50,42,17,WhatsApp,Entertainment,233.0
Student_89,22,Male,51.0,96,24,11,75,Instagram,Education,257.0
Student_90,24,Female,160.0,27,57,66,8,YouTube,News,318.0
Student_91,19,Male,167.0,110,62,64,73,YouTube,Education,476.0
Student_92,19,Male,109.5,191,61,32,57,YouTube,Education,450.5
Student_93,21,Female,38.0,224,21,39,16,WhatsApp,Productivity,338.0
Student_94,19,Male,109.5,196,57,73,6,Instagram,News,441.5
Student_95,19,Female,103.0,60,57,42,45,YouTube,Education,307.0
Student_96,23,Female,128.0,47,85,43,12,Instagram,Education,315.0
Student_97,21,Female,10.0,146,48,28,39,YouTube,News,271.0
Student_98,23,Male,177.0,3,51,12,41,YouTube,News,284.0
Student_99,24,Male,150.0,34,41,11,8,Snapchat,Education,244.0
Student_100,24,Male,158.0,191,69,45,49,Instagram,Productivity,512.0
